c_ip;sum(sc_bytes)
194.239.94.33;13177444266
77.213.178.112;11114908635
188.180.123.99;10300328461
131.165.97.176;7938703112
131.116.254.197;5917930145
185.16.156.40;5173915575
193.163.223.57;4391891610
90.185.225.156;3633350941
54.93.119.101;3430915330
54.93.72.39;3430740614
77.233.253.196;2265863962
91.144.248.50;2194989149
176.9.34.195;1744594287
52.29.222.63;1685007675
176.22.92.2;1626033263
54.217.25.147;1258747747
54.216.220.16;1212276748
54.216.197.207;1210297994
104.45.92.237;748346083
131.165.97.180;597075340
5.179.85.168;568075555
193.104.202.2;435499762
83.136.89.180;426310645
194.239.239.31;388190975
54.93.200.177;386345290
131.165.97.188;235877978
194.28.248.113;226179608
78.0.36.18;181806028
194.239.188.2;155675992
193.169.154.92;144505730
212.10.167.131;139507256
144.76.224.36;124698519
193.169.154.163;116168861
93.163.60.158;112366498
194.255.43.142;104319503
85.82.230.46;102650382
202.84.35.90;92697202
131.165.85.2;88843651
87.51.1.170;77057669
87.54.60.222;74365241
77.243.131.24;73013042
94.231.111.114;72855924
194.239.110.2;70666015
62.116.194.184;69443138
52.31.225.181;68431852
193.3.141.124;65132413
195.211.176.38;55708486
195.215.12.51;53839889
185.21.40.41;52436874
193.169.155.134;50763355
77.243.34.166;48146787
194.255.43.141;47702819
194.255.43.134;44414639
52.19.15.221;42236533
77.75.126.222;41404587
87.104.232.2;40953891
87.63.98.150;40668925
195.190.25.35;40460643
89.188.72.240;39446219
164.132.200.193;38572334
208.115.111.74;37399981
208.115.113.93;36554861
159.8.47.237;35782298
87.55.46.238;34268171
96.30.32.32;33226701
188.244.64.34;33191770
78.111.171.82;32160613
5.179.80.166;31554099
87.63.96.190;27683046
87.51.2.2;27513425
148.251.151.132;26285199
91.215.161.95;25580693
87.48.170.200;25011206
131.165.52.66;24679895
91.209.190.169;24569375
131.165.100.40;23979759
185.21.41.136;23127451
185.116.148.10;22793805
188.176.29.28;22093675
193.3.142.123;21399757
82.103.129.168;21223980
87.59.215.86;21145508
31.3.76.75;20112351
77.66.18.97;19946620
5.9.158.181;18145034
195.215.130.200;17932564
87.54.23.198;17665110
109.202.148.210;16994650
77.66.35.37;16942832
195.225.90.1;16291429
93.167.199.1;16263751
62.138.0.25;16202128
193.88.89.34;15803084
195.184.124.50;15412377
213.174.79.162;15347008
213.174.79.163;15255993
195.182.39.87;14729332
85.25.210.234;14167233
80.63.55.142;13951892
87.116.40.168;13496265
5.103.131.208;13266966
147.29.38.46;12459186
193.88.89.35;12257341
194.239.195.65;11666855
212.88.79.62;11438102
