c_ip;sum(sc_bytes)
194.239.94.33;23634074384
91.221.143.2;6492212695
131.116.254.197;6437595427
152.115.60.131;5327756265
83.221.154.13;5081663331
131.165.97.180;4773717238
193.163.223.57;4295837828
191.237.217.45;3521210327
77.233.253.196;2233873602
131.165.97.188;1771284273
176.9.34.195;1703683583
195.215.12.12;1405309229
5.103.168.79;1364594494
77.233.236.2;1218731240
83.136.89.180;888227444
5.179.85.168;859836179
193.104.202.2;769324911
24.21.227.120;724047803
77.243.34.130;432894203
85.82.230.46;430042412
195.190.31.184;393764189
54.93.200.177;371142909
217.195.189.60;351204656
93.165.132.198;318996059
191.238.106.226;268343231
62.116.194.184;265178763
195.225.90.1;235649512
193.88.33.108;234206096
87.104.232.2;223425528
78.143.107.158;199153761
195.249.17.5;171999735
194.239.188.2;157009427
91.221.166.69;147332359
193.169.154.163;138290600
23.102.8.198;132851583
195.215.12.29;127849304
87.63.96.190;116231402
202.84.35.90;112139520
212.88.79.62;110747868
94.231.111.114;105618281
54.164.104.125;97484861
89.239.210.212;95514113
77.66.35.37;91666768
212.98.85.101;90174397
185.4.218.27;77226843
194.28.248.113;77073533
87.54.60.222;76205917
87.51.1.170;75995538
82.103.129.168;73738529
185.21.40.41;72309391
194.239.110.2;70658508
77.243.131.24;69339722
193.33.148.6;64597468
77.66.2.66;61185757
93.178.184.74;60566825
188.244.64.34;57037618
194.152.39.123;54063078
78.111.171.82;49749419
91.215.161.95;47766200
95.154.48.10;46792042
52.19.15.221;42430799
77.233.229.156;41489725
159.8.46.28;39751092
185.21.41.54;38045139
77.243.34.166;37274972
89.188.72.240;36860956
93.163.28.95;36375032
78.156.117.181;36272778
80.62.237.254;36198963
87.51.2.2;35448232
62.44.135.194;34968327
217.16.110.58;34890123
193.28.149.126;33697139
195.215.168.34;33210507
5.9.158.181;32922226
173.199.165.104;32507304
208.115.113.93;32084809
5.179.80.166;31199217
104.155.81.134;30663902
149.202.164.203;30539589
148.251.151.132;30509684
131.165.209.97;29761314
193.169.155.134;28636454
208.115.111.74;27766646
131.165.100.40;25187771
91.209.190.169;24914986
131.165.52.66;24343785
212.130.213.134;23068314
159.8.47.237;22202799
91.238.206.131;20699357
78.156.118.239;20639732
178.157.216.248;20047393
131.165.91.200;19602871
195.211.176.38;19409533
194.255.130.34;19298945
87.51.6.242;18312377
188.114.174.113;17493804
194.255.43.141;17311151
147.29.38.46;17039626
83.136.95.10;17011805
80.160.97.50;16633277
193.3.141.124;16582862
93.167.199.1;16121971
195.182.39.87;14652670
85.81.242.132;14484544
131.165.115.153;14065353
54.72.58.134;13467793
195.10.207.4;12777177
77.68.251.24;12712036
68.180.230.225;12516395
85.202.22.130;12359277
109.236.179.200;12272473
83.151.156.68;12249281
193.88.89.34;11965368
90.185.207.32;11759581
77.66.18.97;11329845
77.215.101.223;11115539
87.63.108.250;10736680
77.243.130.4;10586004
188.179.129.202;10083838
152.115.60.146;9660497
217.198.220.2;8904109
37.49.141.200;8626545
94.18.233.194;8415210
131.165.57.130;8386068
46.32.38.35;8364306
193.88.89.35;8350739
80.164.35.210;8076726
152.115.88.30;7948931
195.249.127.231;7934665
80.160.73.50;7882955
5.103.191.108;7465051
2.109.205.38;7411659
62.243.244.158;7355101
212.112.135.254;7272384
2.111.186.14;7168626
130.225.93.163;6817588
194.255.43.142;6769896
91.198.252.10;6699075
2.105.207.121;6682818
62.44.135.153;6466339
195.190.25.35;6417703
80.165.145.190;6354892
195.189.232.33;6212496
62.44.135.113;5921301
176.23.75.233;5888907
93.162.77.194;5768259
94.101.213.238;5763840
62.243.4.35;5661884
195.41.97.4;5547157
77.66.81.2;5489417
37.128.222.216;5366810
194.182.135.37;5040668
188.228.70.2;5023536
81.4.124.181;4746630
212.97.200.24;4723439
5.179.85.176;4646072
77.68.239.254;4633034
193.104.202.15;4594516
87.54.28.194;4565884
81.95.247.176;4475122
80.198.33.176;4345407
188.64.159.129;4251656
193.169.154.65;4117937
5.56.148.226;4089457
212.97.130.160;4075058
77.66.63.193;4028020
130.227.16.15;3785270
52.17.252.212;3593131
2.110.8.105;3531819
152.115.66.74;3455369
152.115.60.149;3442237
130.226.139.247;3397032
52.18.0.229;3388972
193.169.154.66;3373312
212.93.55.34;3352739
130.225.254.30;3343330
37.49.142.33;3304627
212.93.55.36;3282779
213.88.210.170;3266059
81.19.248.66;3234230
131.165.101.68;3175162
212.178.178.64;3171972
78.0.13.122;3146747
91.207.32.40;3133929
212.98.82.162;3120776
62.243.0.250;3118219
54.155.123.7;3103027
77.221.241.68;3086884
193.41.13.4;3028800
185.16.156.13;2960792
185.16.17.139;2926207
195.249.139.90;2728284
185.56.80.138;2709607
87.54.5.46;2675394
193.3.142.123;2526209
217.16.111.33;2522782
213.83.149.250;2521129
77.66.58.66;2511607
185.56.80.119;2466652
176.58.96.204;2444318
213.138.128.52;2403209
95.154.23.147;2398174
91.236.16.10;2390159
91.195.58.208;2340251
193.3.61.244;2319215
93.178.191.1;2306431
54.216.196.252;2267973
188.120.91.3;2264619
195.184.124.50;2248464
81.91.214.60;2246218
188.176.140.66;2237646
194.239.195.65;2228510
131.165.167.146;2199428
80.198.193.75;2111288
109.202.139.192;2102996
185.56.166.254;2099420
93.184.200.204;2087625
54.93.116.52;2072583
80.62.237.5;2069891
54.93.67.243;2034145
195.245.193.15;2010958
157.55.39.117;1979697
92.246.10.249;1960445
193.3.95.240;1926299
151.236.218.71;1901231
87.54.165.202;1891700
77.215.124.128;1876210
188.120.90.4;1872633
87.118.67.27;1848921
130.185.136.10;1834829
93.162.78.158;1829613
195.41.228.165;1815360
80.254.154.43;1808620
89.150.126.20;1781807
212.60.120.253;1767730
62.243.161.52;1755140
80.196.99.178;1734070
5.153.44.244;1711418
80.62.247.46;1665450
87.48.131.98;1660740
195.7.30.16;1642631
185.15.72.41;1640444
176.22.215.48;1639014
2.106.202.25;1634364
193.163.235.203;1633896
194.255.177.194;1633805
176.22.253.202;1590616
78.111.165.66;1588344
62.198.249.234;1577698
85.129.83.174;1557324
176.62.207.33;1552789
193.200.225.35;1552530
52.48.126.198;1529102
193.0.161.7;1521903
77.66.37.219;1480739
213.174.76.227;1474407
194.239.239.31;1471335
93.163.78.110;1463192
83.89.74.60;1459936
2.109.207.218;1459715
93.166.101.122;1450717
87.54.13.116;1449132
93.163.34.46;1446167
77.66.33.235;1430348
77.243.50.50;1425897
195.249.137.139;1385419
195.81.3.249;1348512
46.32.145.223;1329298
195.7.31.10;1310854
212.93.55.35;1309042
87.48.150.226;1300337
89.184.152.126;1299484
131.165.102.230;1298314
87.54.15.98;1293854
2.104.235.226;1292165
94.101.209.2;1249371
139.117.13.89;1221362
188.180.87.190;1219788
62.44.135.145;1217492
94.247.174.83;1215489
193.169.154.162;1214900
62.242.207.90;1213275
178.255.154.2;1211960
178.255.153.2;1209983
82.103.128.63;1208761
194.239.15.253;1208042
212.178.178.254;1206704
46.20.45.18;1203680
212.10.208.144;1195613
178.255.152.2;1192723
83.170.113.210;1174890
87.60.69.146;1169841
185.19.132.68;1169567
80.196.236.90;1166047
185.16.18.103;1152117
62.242.39.251;1141631
178.255.155.2;1141390
194.239.249.179;1133825
52.49.146.254;1120622
40.77.167.68;1114827
195.215.130.201;1110544
93.176.82.58;1097890
91.230.68.7;1089194
80.254.154.59;1075641
77.213.233.45;1075544
212.130.0.163;1073679
80.197.186.202;1061743
193.163.102.249;1046661
87.73.100.16;1028625
95.154.59.148;1028559
157.55.39.135;1024531
157.55.39.20;1022029
131.165.75.34;1018328
212.98.103.66;1016975
188.64.156.192;1007824
93.165.152.93;1001010
91.209.190.171;997861
77.243.40.197;996452
195.137.194.64;995213
152.73.73.1;992605
193.88.205.104;992175
195.41.8.133;989830
54.194.87.55;979235
130.226.87.174;976505
93.176.69.12;972399
188.64.156.195;971125
54.74.104.196;970489
2.50.23.225;967887
62.242.66.130;949084
212.130.111.163;946815
193.162.48.5;946000
87.52.28.61;945155
46.32.40.45;941454
212.10.72.90;941077
91.144.212.214;929931
95.138.209.71;925738
188.138.118.184;924499
213.150.46.228;924418
195.249.50.251;924053
94.101.213.28;919083
85.17.156.11;918201
148.122.219.94;917561
77.66.89.13;917434
193.3.142.51;912929
212.37.158.231;909465
194.255.14.130;909195
77.243.46.11;905348
217.16.111.254;903623
87.56.192.71;902697
212.130.49.210;897584
87.104.223.226;889267
87.51.6.8;888310
83.136.94.45;879361
62.44.135.167;866707
78.157.103.197;861761
91.198.237.1;856719
188.228.70.193;855145
90.184.192.185;836381
79.170.128.150;828407
87.54.59.150;820783
92.246.4.130;820360
195.215.168.190;820190
85.218.148.232;818760
217.116.243.54;815811
130.226.228.98;812596
130.226.228.91;812404
78.143.71.234;809828
109.202.131.98;804980
131.165.161.129;796428
2.108.131.246;788924
40.77.167.17;788461
193.0.243.15;779945
212.88.71.2;773010
80.62.116.4;767963
87.48.131.243;766947
62.210.107.201;760114
188.180.184.114;760099
5.103.128.96;753633
185.19.132.82;747705
125.212.32.50;746900
87.57.92.102;739541
83.136.89.52;737727
195.93.192.193;737548
212.130.35.226;730861
80.62.116.90;730828
80.197.82.102;727371
212.130.117.201;724766
193.169.154.69;721003
149.226.255.200;720356
147.29.31.5;719842
95.154.28.146;719338
87.49.169.147;706851
90.184.120.22;702014
194.182.139.154;701584
80.167.160.32;696787
195.41.13.40;695332
89.104.211.21;692673
80.167.73.134;687701
193.169.154.147;683029
157.55.39.194;681344
80.198.90.242;678244
77.29.142.59;671655
83.151.148.1;668511
185.17.192.90;663007
185.46.39.254;661751
91.236.210.30;660524
185.107.12.53;658840
2.104.145.136;657549
131.228.182.254;652881
5.103.54.237;650934
83.151.154.136;647847
130.225.166.194;644650
213.52.130.32;640889
87.104.220.202;640473
77.215.82.239;639024
90.184.15.239;637983
87.56.86.111;634430
2.110.235.62;632324
195.137.178.130;624769
2.106.179.56;624518
80.254.154.83;622362
80.63.55.2;618871
2.108.196.69;617536
212.130.163.10;616843
77.213.219.86;614572
37.128.216.235;613743
212.130.176.115;612653
188.178.146.13;609759
62.44.134.94;608471
93.167.197.158;607999
193.239.99.220;607939
94.18.240.2;607705
213.83.152.66;606921
85.82.154.187;600853
5.103.13.249;593648
131.165.75.32;593244
87.104.91.132;590700
77.66.17.145;587456
87.54.2.22;584654
193.28.147.14;579979
87.104.69.157;577544
91.216.101.170;576841
195.249.218.112;576020
193.239.99.182;573996
91.208.143.133;569900
87.54.10.144;569687
80.62.117.243;566550
147.29.25.142;562907
85.204.121.74;560106
188.64.152.194;556712
90.185.216.188;553992
87.104.131.26;553464
86.52.171.157;553268
107.178.194.82;551676
93.160.62.155;550826
62.61.128.177;549827
185.19.132.84;547204
188.181.108.217;546822
188.177.34.46;544968
87.116.28.162;544831
188.120.77.210;541860
62.44.135.44;540691
77.68.251.124;540371
85.83.21.66;540239
194.88.216.48;539714
87.60.135.127;539471
80.62.116.230;539093
194.239.0.6;538822
195.191.142.6;538766
91.133.33.169;536805
52.18.43.179;534881
37.49.129.222;534521
212.98.76.240;527596
130.226.41.19;527518
77.66.21.41;526998
107.178.194.103;526898
62.61.128.149;526562
87.55.33.45;520521
178.62.89.121;516480
194.239.236.46;515591
80.71.135.23;515167
176.22.104.64;511675
87.52.30.175;499554
165.225.64.54;498396
87.104.72.4;492443
77.68.246.113;491914
77.233.250.4;491156
89.221.171.43;487610
131.165.177.65;486622
188.226.198.59;486534
2.111.161.189;483912
80.62.117.61;483557
193.163.100.18;482873
194.182.147.100;479953
66.249.64.184;477434
93.167.225.187;477388
92.246.21.121;476706
213.83.134.132;475999
2.111.14.162;474162
80.63.105.82;471738
130.226.87.167;469563
2.110.192.186;468941
93.165.133.162;468128
83.221.140.244;467316
193.89.255.174;464637
94.18.200.50;462168
193.163.235.200;457217
80.62.117.104;456947
212.98.103.23;456379
62.199.220.251;450553
91.102.27.1;449197
185.73.72.70;448759
94.231.96.1;448210
62.198.110.103;447583
188.176.169.10;446884
90.185.175.77;446201
188.176.185.26;443170
2.109.102.64;443021
