navn,type,adresse,ip,data
JN Data A/S,other,"Frichsvej 18, 8600 Silkeborg, Denmark",194.239.94.33,13177444266
CYBERCITY-DSL-USERS,,,77.213.178.112,11114908635
KAMSTRUP-A-S-NET,,,188.180.123.99,10300328461
KMD A/S,LIR,DENMARK,131.165.97.176,7938703112
Telia Company AB,LIR,SWEDEN,131.116.254.197,5917930145
ODKNET-NET01,,,185.16.156.40,5173915575
DKREGIONMIDT2,,,193.163.223.57,4391891610
Fullrate A/S,OTHER,DENMARK,90.185.225.156,3633350941
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.93.119.101,3430915330
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.93.72.39,3430740614
NIRAS-NET-2,,,77.233.253.196,2265863962
DK-VERDO_HOLDING_20070515,,,91.144.248.50,2194989149
HETZNER-RZ10,,,176.9.34.195,1744594287
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.29.222.63,1685007675
TDC-CUSTOMER-NET,,,176.22.92.2,1626033263
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.217.25.147,1258747747
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.216.220.16,1212276748
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.216.197.207,1210297994
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,104.45.92.237,748346083
KMD A/S,LIR,DENMARK,131.165.97.180,597075340
Domstolsstyrelsen-NET-1,,,5.179.85.168,568075555
Support-IT Network ApS,OTHER,2750 Ballerup,193.104.202.2,435499762
NIANET_CORE,,,83.136.89.180,426310645
TOS-NET,,,194.239.239.31,388190975
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.93.200.177,386345290
KMD A/S,LIR,DENMARK,131.165.97.188,235877978
DONG ENERGY OIL & GAS A/S,OTHER,Danmark,194.28.248.113,226179608
T-HT,,,78.0.36.18,181806028
BANKDATA-NET,,,194.239.188.2,155675992
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.154.92,144505730
STOFANET-13,,,212.10.167.131,139507256
HETZNER-RZ-BLK-ERX1,,,144.76.224.36,124698519
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.154.163,116168861
TDC-BREDBAANDSADSL-STATIC-NET,,,93.163.60.158,112366498
Nordea Bank Denmark,OTHER,0900 Kobenhavn C,194.255.43.142,104319503
CYBERCITY-DSL-USERS,,,85.82.230.46,102650382
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,202.84.35.90,92697202
KMD A/S,LIR,DENMARK,131.165.85.2,88843651
KALUNDBORG-RENSEANLAEG-NET,,,87.51.1.170,77057669
VEJLE-KOMMUNE-NET,,,87.54.60.222,74365241
A/S ScanNet,OTHER,DK-Denmark,77.243.131.24,73013042
Zitcom A/S,LIR,DENMARK,94.231.111.114,72855924
NAESTVEDKOM-NET,,,194.239.110.2,70666015
Provector-NET-1,,,62.116.194.184,69443138
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.31.225.181,68431852
TDK-SERVICES-IT,,,193.3.141.124,65132413
PHD APS,OTHER,"SecureNetwork A/S Hoerskaetten 6A, 1.sal DK-2630 Taastrup Denmark",195.211.176.38,55708486
TDC-HOSTING,,,195.215.12.51,53839889
Zitcom A/S,LIR,DENMARK,185.21.40.41,52436874
"Koebenhavns Kommune, Leverancecenter IT, Infrastruktur",other,"Ottiliavej 1, 1 sal, 2500 Valby, Denmark",193.169.155.134,50763355
GLOBALCONNECT-NETWORK,,,77.243.34.166,48146787
Nordea Bank Denmark,OTHER,0900 Kobenhavn C,194.255.43.141,47702819
Nordea Bank Denmark,OTHER,0900 Kobenhavn C,194.255.43.134,44414639
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,52.19.15.221,42236533
WUD001,,,77.75.126.222,41404587
TRE-FOR,,,87.104.232.2,40953891
DITMER-A-S-NET,,,87.63.98.150,40668925
SEMAPHOR,OTHER,Denmark,195.190.25.35,40460643
Zitcom A/S,LIR,DENMARK,89.188.72.240,39446219
OVH SAS,LIR,FRANCE,164.132.200.193,38572334
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,208.115.111.74,37399981
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,208.115.113.93,36554861
NETBLK-SOFTLAYER-RIPE-CUST-MH14539-RIPE,,,159.8.47.237,35782298
TDC-BREDBAANDSADSL-STATIC-NET,,,87.55.46.238,34268171
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,96.30.32.32,33226701
DK-ATEA-AOS1,,,188.244.64.34,33191770
C103-ZENSYSTEMS-DK,,,78.111.171.82,32160613
FaxeKommune-NET-1,,,5.179.80.166,31554099
TDC A/S,LIR,DENMARK,87.63.96.190,27683046
EG-DATA-INFORM-HJOERRING-A-S-NET,,,87.51.2.2,27513425
HETZNER-RZ-BLK-ERX2,,,148.251.151.132,26285199
Athena IT-Group A/S,LIR,DENMARK,91.215.161.95,25580693
HEDENSTED-KOMMUNE-NET,,,87.48.170.200,25011206
KMD A/S,LIR,DENMARK,131.165.52.66,24679895
Konform A/S,LIR,DENMARK,91.209.190.169,24569375
KMD A/S,LIR,DENMARK,131.165.100.40,23979759
Zitcom A/S,LIR,DENMARK,185.21.41.136,23127451
Lyngby-Taarbaek Kommune,LIR,DENMARK,185.116.148.10,22793805
KABELTV,,,188.176.29.28,22093675
TDK-SERVICES-IT,,,193.3.142.123,21399757
EASYSPEEDY,,,82.103.129.168,21223980
TDC-BREDBAANDSADSL-STATIC-NET,,,87.59.215.86,21145508
IPV-3137672,,,31.3.76.75,20112351
Netgroup A/S,LIR,DENMARK,77.66.18.97,19946620
HETZNER-RZ19,,,5.9.158.181,18145034
GENTOFTE-KOMMUNE,,,195.215.130.200,17932564
SLANGERUP-RAADHUS--NET,,,87.54.23.198,17665110
C327-ZENSYSTEMS-DK,,,109.202.148.210,16994650
Robinhus-net,,,77.66.35.37,16942832
Cortex Consult A/S,OTHER,"Trekronergade 126 F 2500 Valby, Danmark",195.225.90.1,16291429
ALBERTSLUND-KOMMUNE-NET,,,93.167.199.1,16263751
PlusServer GmbH,Other,GERMANY,62.138.0.25,16202128
TDC-CUSTOMER-NET,,,193.88.89.34,15803084
CUST007421,,,195.184.124.50,15412377
TDCH-NET,,,213.174.79.162,15347008
TDCH-NET,,,213.174.79.163,15255993
Ringsted Kommune,OTHER,"R?dhuset, Sct. Bendtsgade 1, 4100 Ringsted, Denmark",195.182.39.87,14729332
HEG Mass,OTHER,Germany,85.25.210.234,14167233
TDC-PROACCESS-WAN-NET,,,80.63.55.142,13951892
Vsgidion-NET-1,,,87.116.40.168,13496265
SEAS-NVE-INFRASTRUCTURE,,,5.103.131.208,13266966
CSC Danmark A/S,LIR,DENMARK,147.29.38.46,12459186
TDC-CUSTOMER-NET,,,193.88.89.35,12257341
AB-KOM-NET,,,194.239.195.65,11666855
DK-SONOFON-NET,,,212.88.79.62,11438102
SILKEBORG-KOMMUNE-NET,,,87.48.131.98,11378894
SIT-05-SHS-L2,,,188.64.156.195,11342319
TDC-BREDBAANDSADSL-STATIC-NET,,,87.62.86.190,10763588
LEIMDORFER-NET,,,88.131.219.130,10670667
FBB_RESIDENTIAL_DHCP_FIXED,,,78.156.118.239,10415976
KMD A/S,LIR,DENMARK,131.165.115.153,10216441
A/S ScanNet,OTHER,DK-Denmark,77.243.130.4,9461943
BREDBAANDNORD-NET,,,77.68.246.90,9214499
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,54.72.58.134,8901375
Zitcom A/S,LIR,DENMARK,185.21.41.54,8178790
TDC-CUSTOMER-NET,,,176.23.115.83,8161971
NETBLK-SOFTLAYER-RIPE-CUST-AH10976-RIPE,,,159.8.233.252,7858467
Fullrate A/S,OTHER,DENMARK,90.185.207.32,7351182
TDC A/S,LIR,DENMARK,195.41.8.133,7018919
FAVRSKOVDK,,,217.198.220.2,6899861
GARUDA-EUROPE-APS-NET,,,87.51.6.8,6709137
Private Enterprise RadioNet,OTHER,Ukraine,195.34.205.202,6626583
KABELTV,,,87.52.4.15,6463740
COHAESIO,,,212.97.130.160,6394184
CUST-GC-NET-0407,,,212.98.85.101,6280570
GALLUP_KBH_NY-Cirque,,,77.234.171.162,6180417
CYBERCITY-DSL-USERS,,,94.145.7.3,6155858
Telia Company AB,LIR,SWEDEN,62.44.135.137,6119621
Sanistaal A/S,OTHER,"Haandvaerkervej 14, DK-9000 Aalborg Denmark",195.10.207.4,5964121
TELEDANMARK-ADSL-USERS,,,80.63.99.242,5954616
intranote,,,92.246.5.117,5929288
Hostnordic A/S,LIR,DENMARK,81.95.247.176,5890920
Falck Danmark A/S,other,"Polititorvet, DK-1780 Copenhagen V Denmark",91.198.252.10,5343444
WESERVIT-RAMNODE,,,81.4.124.181,5065184
SkanderborgKommune-NET-1,,,37.49.141.200,4785475
TDC A/S,LIR,DENMARK,94.189.33.242,4700369
Region Sjaelland,OTHER,"Alleen 15, 4180 Soroe, Denmark",91.198.168.8,4500993
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.133,4439201
BOLIGNET-NET,,,79.142.224.210,4152009
CUST-GC-NET-0182,,,94.101.213.238,4090486
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.161,3939357
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.145,3922877
KMD A/S,LIR,DENMARK,131.165.101.68,3919350
CUST-GC-NET-1038,,,212.98.101.240,3885529
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.129,3820011
Zen Systems A/S,LIR,DENMARK,188.120.93.100,3816322
COP2-CWS,,,80.254.154.43,3803052
DK-UNI2-KUNDER,,,130.227.16.15,3773066
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.163,3744200
NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK,,,107.178.195.143,3737438
